                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.86838,                0.92491,                 1.1948,                0.80617,                0.61554,                 0.7243,                0.62082,                0.68154,                0.90221,                 1.1019,             6.1561e-05,             6.1561e-05,             6.1561e-05
                     76,                 0.8712,                0.91472,                 1.1962,                0.70795,                 0.6499,                0.72165,                0.62511,                0.67315,                0.91094,                 1.0957,             5.9363e-05,             5.9363e-05,             5.9363e-05
                     77,                0.87534,                0.93619,                 1.1913,                0.71988,                0.65578,                0.71708,                0.61951,                 0.6694,                0.91547,                 1.0943,             5.7165e-05,             5.7165e-05,             5.7165e-05
                     78,                0.87053,                0.91606,                  1.194,                0.78041,                0.63542,                0.71462,                0.61306,                0.67099,                0.92366,                 1.0955,             5.4967e-05,             5.4967e-05,             5.4967e-05
                     79,                0.85402,                0.92456,                 1.1852,                0.77197,                0.64457,                0.72791,                0.62887,                0.67051,                0.87164,                 1.0957,             5.2769e-05,             5.2769e-05,             5.2769e-05
                     80,                 0.8746,                0.91863,                 1.2021,                0.72691,                 0.6537,                 0.7188,                0.61534,                0.68493,                0.88774,                 1.1037,             5.0572e-05,             5.0572e-05,             5.0572e-05
                     81,                0.87024,                0.90658,                 1.1845,                0.72799,                0.66238,                0.72139,                0.61777,                0.67598,                0.89674,                 1.0959,             4.8374e-05,             4.8374e-05,             4.8374e-05
                     82,                0.86164,                0.91559,                 1.1884,                0.74523,                0.65753,                0.72338,                0.61352,                0.67581,                0.88453,                 1.0958,             4.6176e-05,             4.6176e-05,             4.6176e-05
                     83,                0.85973,                0.91425,                 1.1834,                0.75762,                0.62855,                0.71236,                0.60527,                0.67407,                0.87912,                 1.0917,             4.3978e-05,             4.3978e-05,             4.3978e-05
                     84,                0.85367,                0.91287,                 1.1915,                0.74691,                0.63564,                0.71021,                0.61275,                 0.6688,                 0.9048,                 1.0906,              4.178e-05,              4.178e-05,              4.178e-05
                     85,                0.85796,                0.90786,                 1.1856,                0.69717,                0.67599,                0.71784,                0.61575,                0.67553,                0.87913,                 1.0926,             3.9583e-05,             3.9583e-05,             3.9583e-05
                     86,                0.85798,                0.88327,                 1.1855,                0.67466,                0.69596,                0.72255,                0.62081,                0.67038,                0.85631,                 1.0947,             3.7385e-05,             3.7385e-05,             3.7385e-05
                     87,                0.86215,                0.89526,                 1.1934,                0.73142,                0.64897,                0.72827,                0.62765,                0.66246,                0.86241,                 1.0914,             3.5187e-05,             3.5187e-05,             3.5187e-05
                     88,                0.85866,                0.89923,                 1.1843,                0.72451,                0.66083,                0.71942,                0.62224,                0.66663,                0.87933,                 1.0885,             3.2989e-05,             3.2989e-05,             3.2989e-05
                     89,                0.85378,                0.90306,                 1.1789,                0.72985,                0.66463,                0.71499,                0.61374,                0.66447,                0.85781,                 1.0862,             3.0791e-05,             3.0791e-05,             3.0791e-05
                     90,                0.84778,                0.87336,                 1.1715,                0.76125,                0.63165,                0.72106,                0.61978,                0.66657,                0.87035,                 1.0888,             2.8594e-05,             2.8594e-05,             2.8594e-05
                     91,                 0.7846,                0.72953,                 1.2098,                0.74309,                0.64787,                0.73417,                0.62793,                0.68667,                0.86303,                 1.0989,             2.6396e-05,             2.6396e-05,             2.6396e-05
                     92,                0.77456,                0.68446,                 1.2025,                0.75393,                0.65257,                0.73976,                 0.6315,                0.67786,                0.85554,                 1.0952,             2.4198e-05,             2.4198e-05,             2.4198e-05
                     93,                0.76781,                0.67352,                 1.1955,                0.68426,                0.69161,                0.73434,                0.62787,                0.68201,                0.84666,                 1.0957,                2.2e-05,                2.2e-05,                2.2e-05
                     94,                0.76541,                0.68415,                 1.1927,                0.71555,                0.71272,                0.73924,                0.63419,                0.68028,                0.83618,                 1.0981,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     95,                0.76526,                0.68487,                 1.1972,                0.68999,                0.71487,                0.74108,                0.63141,                0.68075,                0.84739,                 1.0948,             1.7605e-05,             1.7605e-05,             1.7605e-05
                     96,                0.75837,                0.67231,                 1.1916,                0.73317,                0.70862,                0.74449,                0.64303,                0.67422,                0.83908,                 1.0937,             1.5407e-05,             1.5407e-05,             1.5407e-05
                     97,                0.75008,                0.66276,                 1.1824,                0.72325,                0.70933,                 0.7447,                0.63696,                0.67498,                0.83693,                  1.096,             1.3209e-05,             1.3209e-05,             1.3209e-05
                     98,                0.75477,                0.66233,                 1.1836,                0.70874,                0.71425,                0.74098,                0.63842,                0.67418,                0.83448,                 1.0934,             1.1011e-05,             1.1011e-05,             1.1011e-05
                     99,                0.74967,                0.65875,                 1.1831,                  0.679,                0.72084,                0.73926,                0.63545,                0.67538,                 0.8338,                 1.0949,             8.8134e-06,             8.8134e-06,             8.8134e-06
                    100,                0.74723,                0.66133,                 1.1805,                0.65748,                0.73148,                0.74081,                0.63859,                0.67549,                0.83136,                 1.0923,             6.6156e-06,             6.6156e-06,             6.6156e-06
